 Josh Brolin,456,8.93
 Brie Larson,98,6.61
 Pom Klementieff,1,0.582
 Karen Gillan,2,7.93
 Elizabeth Olsen,349,12.4
 Donald Glover,542,15
 Adrianne Palicki,22,1.85
 Tom Holland,29,13.9
 Jacob Elordi,31010,0.245
 Ryan Reynolds,219,30.6
 Robert Downey Jr,214,16.7
 Courtney Henggeler,5160,0.096
 Tessa Thompson,240,6.85
 Chris Hemsworth,226,18
 Zoe Saldana,6,13.8
 Yvonne Strahovski,14,7.98
 Halston Sage,49,0.596
 Evan Rachel Wood,340,6.61
 Joey King,398,12.2
 Chris Evans,93,19.7
 Scarlett Johansson,35,52.8
 Morena Baccarin,137,4.86
 Chadwick Boseman,2128,7.72
 Michael B Jordan,1665,7.51
 Odette Annable,24,0.64
 Letitia Wright,13322,4.12
 Katja Herbers,1755,0.103
 Benedict Cumberbatch,255,14.9
 Tom Hardy,17,3.23
 Alden Ehrenreich,1072,0.465
 Sebastian Stan,381,2.49
 Alexandra Daddario,12,11.5
 Tom Hiddleston,260,15.3
 Amanda Seyfried,617,15.6
 Rebecca Ferguson,173,4.58
 Emilia Clarke,46,20.5
 Meghan Markle,167,75.8
 Alexander Ludwig,42,3.07
 Evangeline Lilly,395,16.5
 Pauley Perrette,715,7.5
 William Zabka,3358,0.147
 Margot Robbie,27,7.02
 Talulah Riley,1288,0.197
 Chris Pratt,11,9.97
 Rachel McAdams,121,2.73
 Clayne Crawford,777,0.306
 Parker Posey,1398,0.462
 Naomi Scott,107,12.1
 Bryce Dallas Howard,74,5.92
 Olivia Munn,187,11.5
 Jesse Plemons,1075,0.488
 Zazie Beetz,3940,0.406
 Danai Gurira,2586,2.8
 Jennifer Lawrence,41,53.3
 Rosario Dawson,48,1.5
 Alba August,87178,0.0322
 Carrie Coon,63,0.222
 Ralph Macchio,1503,3.18
 Michael C Hall,1135,1.55
 Riley Keough,809,1.44
 Charlize Theron,72,20.3
 Mary Mouser,2748,0.0752
 Cate Blanchett,138,7.47
 Paul Bettany,1119,0.714
 Dave Bautista,5,2.32
 Taron Egerton,90,3.99
 Lily James,205,5.79
 Mina Sundwall,25219,0.0469
 Christina Hendricks,52,8.22
 Shohreh Aghdashloo,100,0.302
 Ana de Armas,8,16.4
 Meg Foster,259,0.21
 Gal Gadot,15,16.3
 Blake Lively,51,27.2
 Maggie Grace,849,1.78
 Katherine Langford,9,1.38
 Michelle Williams,579,26.7
 Mackenzie Davis,73,0.85
 Dwayne Johnson,82,22.3
 Lupita Nyongo,2071,0.828
 Bar Paly,2616,0.197
 Olivia Cooke,840,0.967
 Andy Serkis,1721,2.26
 Keanu Reeves,143,11.8
 Henry Cavill,171,23
 Elisabeth Moss,32,3.4
 Leonardo DiCaprio,83,32.6
 Ella Purnell,1369,0.326
 Emily Blunt,180,11.5
 Brianna Hildebrand,814,1.77
 Amber Heard,109,12.1
 Dakota Fanning,300,11.5
 Hannah John-Kamen,1309,0.211
 Molly Parker,1098,0.283
 Melissa McCarthy,470,6.84
 Sylvester Stallone,94,16.9
 Eline Powell,3635,0.122
 Natalie Portman,85,67.2
 Tanner Buchanan,5911,0.043
